2026-04-28 12:19:42,789 | INFO     | cache                | Redis connected: 127.0.0.1:6379 db=0  TTL=86400s
2026-04-28 12:19:42,789 | INFO     | enrichment_async     | Enrichment queue: 177 unique IOCs to process.
2026-04-28 12:20:02,215 | INFO     | enrichment_async     | Saved scan log to phase2_output/Hive_06082021_20260428_121929/scanned_iocs_by_api.json
2026-04-28 12:20:02,217 | INFO     | enrichment_async     | Enrichment complete: enriched=176  cache_hits=172  api_calls=5  errors=5
2026-04-28 12:20:02,221 | INFO     | main                 | [Step 4/5] Done — enriched=176  cache_hits=172  api_calls=5  (19.44s)
2026-04-28 12:20:02,222 | INFO     | main                 | [Step 5/5] Writing output …
2026-04-28 12:20:02,291 | INFO     | output               | IOC output written: /home/comrade/Documents/V1_Recon/phase2_output/Hive_06082021_20260428_121929/unified_iocs.json (181 records)
2026-04-28 12:20:02,293 | INFO     | output               | Stats written: /home/comrade/Documents/V1_Recon/phase2_output/Hive_06082021_20260428_121929/run_stats.json
2026-04-28 12:20:02,294 | INFO     | main                 | [Step 5/5] Done  (0.07s)
2026-04-28 12:20:02,295 | INFO     | main                 | Total wall time: 32.18s
